CRIMETYPE,BEGDATE,X,Y,time,difftime
OTH,1/1/09 0:00,6381754.48,1905947.36,39814,0.000381749
OTH,1/1/09 0:00,6416256,1896017.9,39814,0.00148485
OTH,1/1/09 0:00,6443653,1841618.1,39814,0.002832518
OTH,1/1/09 0:00,6471808.669,1851489.297,39814,0.003501237
OTH,1/1/09 0:00,6425546.5,1918243.8,39814,0.004603478
OTH,1/1/09 0:00,6462920.924,1836826.6,39814,0.005283242
OTH,1/1/09 0:00,6482314,1847300.9,39814,0.006184627
OTH,1/1/09 0:00,6422417.424,1896889.696,39814,0.006612696
OTH,1/1/09 0:00,6498029.998,1839033.499,39814,0.008684258
BURG,1/1/09 0:00,6427446.7,1807039.9,39814,0.010113669
OTH,1/1/09 0:00,6422067.9,1889083.1,39814,0.010230705
OTH,1/1/09 0:00,6427652.6,1888747.2,39814,0.010285993
OTH,1/1/09 0:00,6428003.8,1889106.3,39814,0.010391161
OTH,1/1/09 0:00,6471599.2,1840415.1,39814,0.011287842
OTH,1/1/09 0:00,6382835.3,1900373.8,39814,0.011649017
OTH,1/1/09 0:00,6467543.4,1807255.1,39814,0.012060244
OTH,1/1/09 0:00,6381039.2,1890032.7,39814,0.012721465
OTH,1/1/09 0:00,6470738.9,1849090.7,39814,0.013063193
OTH,1/1/09 0:00,6498468.6,1851182.9,39814,0.01517384
OTH,1/1/09 0:00,6383059.921,1896846.855,39814,0.015227843
THEFT,1/1/09 0:00,6471202.5,1743381,39814,0.01689616
OTH,1/1/09 0:00,6469330,1826671.6,39814,0.016968642
THEFT,1/1/09 0:00,6410150.2,1850423.1,39814,0.017232487
OTH,1/1/09 0:00,6501678.8,1865257,39814,0.017321867
BTFV,1/1/09 0:00,6475504.2,1846715.3,39814,0.017469368
OTH,1/1/09 0:00,6448398.1,1885913.3,39814,0.018042406
OTH,1/1/09 0:00,6468445.226,1849148.625,39814,0.018642525
OTH,1/1/09 0:00,6479192.3,1859788.6,39814,0.019052875
OTH,1/1/09 0:00,6512981.1,1855835.1,39814,0.01980613
OTH,1/1/09 0:00,6493263.8,1841101.7,39814,0.020006032
BURG,1/1/09 0:00,6451845.11,1835834.448,39814,0.020223102
OTH,1/1/09 0:00,6463936.5,1830983,39814,0.023061073
OTH,1/1/09 0:00,6504675.8,1855386.3,39814,0.023129709
OTH,1/1/09 0:00,6419663,1896958.2,39814,0.024425463
THEFT,1/1/09 0:00,6479447.8,1855185.7,39814,0.026484157
OTH,1/1/09 0:00,6456115.5,1843469.8,39814,0.029799993
OTH,1/1/09 0:00,6444484.2,1898833.7,39814,0.03019296
OTH,1/1/09 0:00,6449634.5,1829466.7,39814,0.030883911
THEFT,1/1/09 0:00,6449623.2,1828486.2,39814,0.03119999
OTH,1/1/09 0:00,6421633.5,1876799.8,39814,0.031950583
OTH,1/1/09 0:00,6470379.1,1853790.1,39814,0.032115805
OTH,1/1/09 0:00,6466771.8,1839592.4,39814,0.033071558
OTH,1/1/09 0:00,6488006.7,1803328.3,39814,0.033562012
OTH,1/1/09 0:00,6469236.7,1847229.9,39814,0.033982154
OTH,1/1/09 0:00,6498053.1,1835412.2,39814,0.034723554
OTH,1/1/09 0:00,6498077.886,1853837.056,39814,0.034816021
THEFT,1/1/09 0:00,6425517.503,1819801.126,39814,0.035766997
THEFT,1/1/09 0:00,6408381,1934997.1,39814,0.036546437
THEFT,1/1/09 0:00,6451487.3,1840623.2,39814,0.036622677
OTH,1/1/09 0:00,6440042.3,1883306.2,39814,0.037135866
THEFT,1/1/09 0:00,6459796.223,1857997.399,39814,0.037502387
OTH,1/1/09 0:00,6450793.508,1882702.427,39814,0.037662844
AGG,1/1/09 0:00,6423673.004,1926413.254,39814,0.037877227
BURG,1/1/09 0:00,6471190.651,1816448.551,39814,0.039258747
BTFV,1/1/09 0:00,6400377.6,1900586.6,39814,0.039919866
